stand,date_1,nb_cats_1,date_2,date_3,date_4,nb_people_4,date_5,nb_people_5,time_property_5,nb_cats_5,date_6,nb_people_6,newhouse_6,date_7,nb_people_7,moving_7,date_8,nb_people_8,moving_8,ndohh_8,dohh_enough_8,dohh_toomany_8,date_9,nb_people_9,moving_9,ndohh_9,dohh_enough_9,dohh_toomany_9,dohh_number_9,date_10,nb_people_10,moving_10,ndohh_10,dohh_enough_10,dohh_toomany_10,dohh_number_10,date_11,nb_people_11,ndohh_11,dohh_enough_11,dohh_toomany_11,dohh_number_11,date_12,inhabited_12,stand_household_12,time_property_12,new_house_12,ndohh_12,dohh_toomany_12,dohh_enough_12
C-40070,,,,10/29/2012,5,07/26/2012,10/01/2013,88,88,0,05/05/2014,1,0,06/19/2014,4,1,,,,,,,,,,,,,,10/08/2015,6,1,1,,,1,20-Jul-16,4,1,,,1,2016/10/03,1,1,4,,88,,
C-40071,,,11/30/2011,11/05/2012,88,06/19/2012,,,,,,,,,,,10/30/2014,1,1,0,,,04/30/2015,2,1,1,,,1,10/08/2015,2,1,1,,,1,02-Mar-16,2,1,,,,,,,,,,,
C-40072,,,11/30/2011,11/05/2012,3,06/19/2012,08/22/2013,2,4,0,05/05/2014,2,0,06/19/2014,3,1,,,,,,,,,,,,,,10/08/2015,3,1,0,,,,02-Mar-16,3,88,,,,2016/10/03,1,1,4,,88,,
C-40073,07/08/2011,0,11/30/2011,11/05/2012,4,06/19/2012,08/22/2013,5,4,0,01/23/2014,5,0,06/19/2014,6,1,10/30/2014,6,1,0,,,04/30/2015,3,1,1,,,1,10/08/2015,3,1,0,,,,02-Mar-16,3,1,,,1,2016/10/03,1,1,4,,88,,
C-40074,,,11/30/2011,11/27/2012,8,06/19/2012,08/22/2013,10,4,0,01/23/2014,7,0,06/19/2014,8,1,10/30/2014,8,1,1,,,,,,,,,,10/08/2015,3,1,,88,,,02-Mar-16,8,1,,,,2016/10/03,1,1,4,,,,
C-40075,07/08/2011,0,,11/27/2012,88,06/19/2012,08/22/2013,6,4,0,01/23/2014,5,0,06/19/2014,7,1,10/30/2014,7,1,,88,,04/30/2015,5,1,1,,,1,10/08/2015,5,1,1,,,1,02-Mar-16,5,1,,,1,2016/10/03,1,1,4,,88,,
C-40076,07/08/2011,0,11/30/2011,11/05/2012,2,06/19/2012,08/22/2013,5,4,0,01/23/2014,5,0,06/19/2014,2,1,10/30/2014,2,1,,0,,04/30/2015,3,1,,88,,,10/08/2015,3,1,,88,,,02-Mar-16,3,,88,,,2016/10/03,1,1,4,,,,88
C-40077,07/08/2011,0,11/30/2011,11/27/2012,5,06/19/2012,08/22/2013,5,88,88,01/23/2014,5,0,06/19/2014,5,1,10/30/2014,5,1,0,,,04/30/2015,5,1,0,,,,10/08/2015,5,1,1,,,1,02-Mar-16,5,1,,,1,2016/11/22,1,1,4,,88,,
C-40078,,,,11/05/2012,7,06/18/2012,10/01/2013,88,88,0,05/05/2014,7,0,06/19/2014,7,1,10/30/2014,7,1,,0,,08/27/2015,7,1,1,,,1,10/08/2015,7,1,,88,,,07-Mar-16,1,,88,,,,,,,,,,
C-40079,07/08/2011,0,,11/05/2012,9,,08/01/2013,88,88,,01/23/2014,6,0,06/19/2014,6,1,10/30/2014,6,1,1,,,04/30/2015,6,1,1,,,1,10/08/2015,6,1,1,,,1,20-Jul-16,6,1,,,1,,,,,,,,
