"","daySeries","meanAbun","meanInf","meanVac"
"529",529,480.1138,0,140.3768
"530",530,480.284,0,140.2088
"531",531,480.4902,0,140.0406
"532",532,480.6386,0,139.865
"533",533,480.8272,0,139.698
"534",534,481.0268,0,139.5234
"535",535,481.1726,0,139.341
"536",536,481.3396,0,139.1652
"537",537,481.5282,0,138.9934
"538",538,481.7108,0,138.8216
"539",539,481.8634,0,138.6516
"540",540,482.0262,0,138.483
"541",541,482.2048,0,138.3008
"542",542,482.4258,0,138.1326
"543",543,482.6244,0,137.9504
"544",544,482.795,0,137.7766
"545",545,482.961,0,137.615
"546",546,483.1098,0,137.4494
"547",547,483.3074,0,137.285
"548",548,483.4848,0,137.1136
"549",549,483.668,0,136.94
"550",550,483.8926,0,136.7662
"551",551,484.0742,0,136.5964
"552",552,484.2552,0,136.432
"553",553,484.3894,0,136.2586
"554",554,484.5856,0,136.095
"555",555,484.754,0,135.922
"556",556,484.9676,0,135.763
"557",557,485.1574,0,135.594
"558",558,485.3148,0,135.4276
"559",559,485.4748,0,135.2628
"560",560,485.6514,0,135.0964
"561",561,485.853,0,134.9384
"562",562,485.9892,0,134.7644
"563",563,486.2224,0,134.5946
"564",564,486.384,0,134.4198
"565",565,486.5852,0,134.2556
"566",566,486.7656,0,134.0998
"567",567,486.9434,0,133.9342
"568",568,487.1246,0,133.7638
"569",569,487.3056,0,133.6068
"570",570,487.493,0,133.4354
"571",571,487.6946,0,133.2784
"572",572,487.862,0,133.1156
"573",573,488.0158,0,132.9444
"574",574,488.208,0,132.7826
"575",575,488.368,0,132.619
"576",576,488.5528,0,132.4592
"577",577,488.6976,0,132.2936
"578",578,488.8922,0,132.1192
"579",579,489.0618,0,131.9616
"580",580,489.2102,0,131.8022
"581",581,489.3304,0,131.6386
"582",582,489.5098,0,131.4798
"583",583,489.717,0,131.3058
"584",584,489.9286,0,131.1398
"585",585,490.1186,0,130.981
"586",586,490.3462,0,130.8232
"587",587,490.5188,0,130.6634
"588",588,490.663,0,130.5004
"589",589,490.811,0,130.3286
"590",590,491.0094,0,130.172
"591",591,491.1742,0,130.0046
"592",592,491.3438,0,129.8464
"593",593,491.4954,0,129.6826
"594",594,491.6604,0,129.5274
"595",595,491.8018,0,129.3674
"596",596,491.976,0,129.2084
"597",597,492.1294,0,129.0406
"598",598,492.317,0,128.8866
"599",599,492.5036,0,128.727
"600",600,492.649,0,128.5728
"601",601,492.8286,0,128.4136
"602",602,493,0,128.2568
"603",603,493.2078,0,128.1004
"604",604,493.3946,0,127.9372
"605",605,493.545,0,127.7832
"606",606,493.6902,0,127.6216
"607",607,493.8556,0,127.4618
"608",608,494.0212,0,127.2976
"609",609,494.1678,0,127.147
"610",610,494.3374,0,126.9882
"611",611,494.4718,0,126.8334
"612",612,494.6808,0,126.6804
"613",613,494.812,0,126.5258
"614",614,495.0084,0,126.3632
"615",615,495.2184,0,126.2102
"616",616,495.4006,0,126.0506
"617",617,495.5956,0,125.905
"618",618,495.8024,0,125.7592
"619",619,496.012,0,125.6086
"620",620,496.2168,0,125.46
"621",621,496.3858,0,125.3028
"622",622,496.5406,0,125.1472
"623",623,496.6816,0,124.9856
"624",624,496.8142,0,124.8256
"625",625,496.9538,0,124.6676
"626",626,497.1404,0,124.5052
"627",627,497.2822,0,124.3492
"628",628,497.4932,0,124.1958
"629",629,497.6526,0,124.0362
"630",630,497.809,0,123.8812
"631",631,497.975,0,123.7298
"632",632,498.159,0,123.5714
"633",633,498.3026,0,123.4142
"634",634,498.4938,0,123.267
"635",635,498.6546,0,123.1072
"636",636,498.8218,0,122.9464
"637",637,499.01,0,122.7842
"638",638,499.1704,0,122.631
"639",639,499.3948,0,122.4808
"640",640,499.5586,0,122.3286
"641",641,499.7488,0,122.1726
"642",642,499.9464,0,122.0282
"643",643,500.1292,0,121.8818
"644",644,500.3156,0,121.7324
"645",645,500.4612,0,121.5902
"646",646,500.61,0,121.435
"647",647,500.7632,0,121.2918
"648",648,500.9098,0,121.1422
"649",649,501.0608,0,120.9948
"650",650,501.1898,0,120.8432
"651",651,501.349,0,120.6998
"652",652,501.525,0,120.5532
"653",653,501.7076,0,120.4074
"654",654,501.8884,0,120.2638
"655",655,502.081,0,120.116
"656",656,502.281,0,119.9678
"657",657,502.4292,0,119.813
"658",658,502.5954,0,119.6626
"659",659,502.7558,0,119.5242
"660",660,502.9138,0,119.3838
"661",661,503.0542,0,119.2236
"662",662,503.2078,0,119.0864
"663",663,503.376,0,118.934
"664",664,503.536,0,118.7892
"665",665,503.7252,0,118.6518
"666",666,503.9114,0,118.5034
"667",667,504.0384,0,118.3464
"668",668,504.22,0,118.2014
"669",669,504.3736,0,118.0504
"670",670,504.5586,0,117.912
"671",671,504.7564,0,117.7676
"672",672,504.8834,0,117.6094
"673",673,505.0384,0,117.4638
"674",674,505.2202,0,117.3178
"675",675,505.3882,0,117.1728
"676",676,505.509,0,117.0262
"677",677,505.6614,0,116.8734
"678",678,505.8138,0,116.7242
"679",679,506.0162,0,116.5792
"680",680,506.1526,0,116.43
"681",681,506.3418,0,116.2914
"682",682,506.5058,0,116.1458
"683",683,506.6766,0,115.9978
"684",684,506.8262,0,115.8474
"685",685,506.9976,0,115.705
"686",686,507.1376,0,115.5582
"687",687,507.2896,0,115.4136
"688",688,507.4228,0,115.268
"689",689,507.5632,0,115.1178
"690",690,507.7182,0,114.9752
"691",691,507.9152,0,114.8386
"692",692,508.085,0,114.7008
"693",693,508.2382,0,114.5582
"694",694,508.4436,0,114.4196
"695",695,508.593,0,114.2738
"696",696,508.7148,0,114.1368
"697",697,508.8376,0,113.9968
"698",698,508.9472,0,113.8546
"699",699,509.0956,0,113.7092
"700",700,509.2394,0,113.563
"701",701,509.4044,0,113.4172
"702",702,509.5856,0,113.2742
"703",703,509.706,0,113.1304
"704",704,509.8778,0,112.987
"705",705,510.0452,0,112.8446
"706",706,510.2122,0,112.6952
"707",707,510.3664,0,112.5606
"708",708,510.4808,0,112.4256
"709",709,510.6482,0,112.2844
"710",710,510.7824,0,112.144
"711",711,510.9612,0,112.0028
"712",712,511.1542,0,111.8672
"713",713,511.2894,0,111.7256
"714",714,511.443,0,111.5836
"715",715,511.5756,0,111.4538
"716",716,511.7068,0,111.3124
"717",717,511.8448,0,111.179
"718",718,511.9974,0,111.0444
"719",719,512.14,0,110.903
"720",720,512.246,0,110.757
"721",721,512.377,0,110.6258
"722",722,512.5206,0,110.4876
"723",723,512.7076,0,110.3586
"724",724,512.8446,0,110.2246
"725",725,512.9894,0,110.0952
"726",726,513.1222,0,109.9608
"727",727,513.2164,0,109.8286
"728",728,513.3628,0,109.6894
"729",729,513.5366,0,109.5542
"730",730,513.6784,0,109.417
"731",731,513.8242,0,109.2882
"732",732,513.9588,0,109.1518
"733",733,514.1194,0,109.0136
"734",734,514.218,0,108.8732
"735",735,514.3886,0,108.7476
"736",736,514.5002,0,108.6122
"737",737,514.629,0,108.4756
"738",738,514.7754,0,108.3446
"739",739,514.882,0,108.2062
"740",740,515.0574,0,108.077
"741",741,515.2524,0,107.9412
"742",742,515.456,0,107.809
"743",743,515.5962,0,107.672
"744",744,515.7392,0,107.5342
"745",745,515.918,0,107.3924
"746",746,516.0232,0,107.254
"747",747,516.1966,0,107.1268
"748",748,516.3354,0,106.99
"749",749,516.5108,0,106.8576
"750",750,516.687,0,106.7224
"751",751,516.8124,0,106.5856
"752",752,516.9488,0,106.4474
"753",753,517.0926,0,106.3182
"754",754,517.2636,0,106.1822
"755",755,517.4364,0.75,106.0538
"756",756,517.6016,0.749,105.924
"757",757,517.7488,0.7466,105.795
"758",758,517.906,0.7454,105.6614
"759",759,517.3068,0,105.5266
"760",760,517.4446,0,105.3938
"761",761,517.5606,0,105.262
"762",762,517.7174,0,105.1244
"763",763,517.8356,0,104.9938
"764",764,518.0126,0,104.8572
"765",765,518.146,0,104.7258
"766",766,518.271,0,104.593
"767",767,518.4246,0,104.4608
"768",768,518.6608,0,104.3324
"769",769,518.816,0,104.1982
"770",770,518.9748,0,104.0758
"771",771,519.0888,0,103.9454
"772",772,519.2098,0,103.8156
"773",773,519.3696,0,103.6788
"774",774,519.4956,0,103.5472
"775",775,519.6358,0,103.4162
"776",776,519.772,0,103.2942
"777",777,519.8956,0,103.1674
"778",778,520.0372,0.1942,103.048
"779",779,520.2418,0.389,102.9188
"780",780,520.3644,0.592,102.7852
"781",781,520.4918,0.7928,102.6546
"782",782,520.4282,0.5978,102.519
"783",783,520.3524,0.4036,102.381
"784",784,520.3128,0.201,102.2554
"785",785,520.2238,0,102.1246
"786",786,520.3686,0,101.993
"787",787,520.5146,0,101.8758
"788",788,520.7024,0,101.7492
"789",789,520.8442,0,101.6172
"790",790,520.975,0,101.493
"791",791,521.1594,0,101.37
"792",792,521.27,0,101.2462
"793",793,521.337,0,101.114
"794",794,521.513,0,100.9848
"795",795,521.6838,0,100.865
"796",796,521.8244,0,100.738
"797",797,521.9334,0,100.6102
"798",798,522.0666,0,100.4814
"799",799,522.212,0,100.361
"800",800,522.366,0,100.2416
"801",801,522.5234,0.0538,100.1142
"802",802,522.6586,0.1544,100.0004
"803",803,522.786,0.3124,99.8718
"804",804,522.9366,0.521,99.7468
"805",805,523.0036,0.6316,99.6196
"806",806,523.0386,0.6294,99.4906
"807",807,523.0044,0.5278,99.3672
"808",808,522.8888,0.319,99.2426
"809",809,522.836,0.1546,99.1132
"810",810,522.9102,0.0562,98.9828
"811",811,523.0088,0,98.8572
"812",812,523.0874,0,98.7372
"813",813,523.2208,0,98.6116
"814",814,523.4042,0,98.492
"815",815,523.5376,0,98.3718
"816",816,523.7156,0,98.2514
"817",817,523.8716,0,98.127
"818",818,524.0308,0,98.0044
"819",819,524.2022,0,97.8782
